,scs,milk,fat,protein,lactose,ec,age,months_since_calving,month_sin,month_cos,scs_t-1,scs_t-2,milk_t-1,milk_t-2,fat_t-1,fat_t-2,protein_t-1,protein_t-2,lactose_t-1,lactose_t-2,ec_t-1,ec_t-2
scs_t-1,0.09134654753889022,0.0041447700572344835,0.0036013545222275136,0.0022559498316542304,0.002965699370007558,0.00485358997551176,0.007497388776758862,0.007295995557408446,0.0036494926083191744,0.0023708733273255186,0.5147257003271124,0.05151011189851794,0.00577801330713756,0.005262865587160608,0.0021434835678870506,0.0026097161467003504,0.0035739352910010196,0.002533098022140598,0.0026918973937139377,0.001827549824175412,0.0034481209923051116,0.005187339807410599
scs_t-2,0.0812986382805854,0.0044250438963178325,0.0017100007196839205,0.002343953523492774,0.0018603699851216181,0.004497545633546405,0.00845562791900426,0.007117539727715337,0.0060302185165742065,0.002283491084036126,0.05151011189851794,0.4908059136393567,0.003979988836581418,0.0056607549969633535,0.0012670596766709815,0.0029619253049416676,0.0023069378654599353,0.0015762228631056418,0.0018972711885110473,0.0015003358943748702,0.003129984809129445,0.005088326153081053
milk_t-1,0.00675985525247588,0.007221126784923257,0.0037224059515210484,0.002666277693881937,0.0016077858879528562,0.004884184097694508,0.0037988334411639007,0.011241749328595984,0.0011826489369947263,0.0014559101326635467,0.00577801330713756,0.003979988836581417,0.06450489332912078,0.0030845841177904562,0.00176763381061876,0.002147611378048304,0.0025082330764358346,0.0023221032589598625,0.0013567632803139114,0.0011939112295663756,0.002363446846103716,0.0033694428790359745
milk_t-2,0.0066170754950590546,0.014325487929603685,0.0024753361022846017,0.0013332758977625282,0.0020124597617266747,0.0037044942492455,0.004914737912087129,0.004030818969234221,0.002588579794175086,0.001469545319341956,0.005262865587160607,0.0056607549969633535,0.0030845841177904567,0.05932862690487013,0.0013850997130722613,0.002263045031215171,0.0017897432754349005,0.001773990047596364,0.0014027877100814166,0.0015788104241647673,0.003329076366684584,0.005444122014492495
fat_t-1,0.0026539500621130083,0.002081697960083703,0.0019136773018809804,0.0008556491520626917,0.0020586806339481308,0.002058036032143795,0.0021006654688239114,0.002725742199378668,0.0015426182372531806,0.001615031115892663,0.0021434835678870506,0.0012670596766709813,0.00176763381061876,0.0013850997130722608,0.01144623876580095,0.001495462635062556,0.0016427656924008819,0.001255121619953062,0.0009217753963113413,0.0009068965764095942,0.0014493038686124772,0.0022432795276128
fat_t-2,0.0023611292485751115,0.0024757375930353057,0.0031585993579743015,0.002263952768433114,0.0016224890423837102,0.0025859665475171695,0.0027649184003902265,0.002661981530582407,0.0014639952932236906,0.0012082109587887024,0.0026097161467003504,0.002961925304941668,0.002147611378048304,0.0022630450312151715,0.001495462635062556,0.015701217329648683,0.0013045317858098415,0.0016800279867312262,0.002138499896552356,0.001534687577335614,0.00166945512675089,0.002344806481756739
protein_t-1,0.003974173985587694,0.002268249658280939,0.0019245825328399438,0.0019074616878425807,0.0014510450973708657,0.0028832673675797723,0.0033115474161436536,0.007256283440900801,0.005437083611719293,0.0013897985770637514,0.003573935291001019,0.0023069378654599353,0.002508233076435834,0.001789743275434901,0.0016427656924008819,0.0013045317858098413,0.031114703469164864,0.0014017861191381981,0.0012158599195374923,0.0010075599569796443,0.0017484358692516004,0.0015307619406717803
protein_t-2,0.0024577443035124135,0.002378008990009969,0.0019533764766341685,0.002147757096391405,0.0016267750733006878,0.0025697174086321242,0.0020105755484571735,0.003199252484584302,0.0017024123863019704,0.00107157620778554,0.0025330980221405985,0.0015762228631056416,0.0023221032589598625,0.001773990047596364,0.001255121619953062,0.0016800279867312262,0.0014017861191381981,0.016042627316245735,0.002290138799463412,0.0012623316029791477,0.0014080280673992376,0.0014791795243935546
lactose_t-1,0.0025857433964510813,0.001545824110192897,0.001416604653588528,0.0011260077657106596,0.0013699554396487713,0.0014784855620632459,0.0008093681394792525,0.001286736384027674,0.0007512270880651937,0.001282183196603266,0.0026918973937139386,0.0018972711885110473,0.0013567632803139112,0.0014027877100814168,0.0009217753963113413,0.0021384998965523557,0.0012158599195374923,0.002290138799463412,0.017667980614180435,0.002528860239838722,0.0014694129243045945,0.002096490109713903
lactose_t-2,0.001672966636800696,0.0018919675025728616,0.001149396860891427,0.0008701470419215874,0.0019653159221157982,0.001486887984782507,0.004313299191125267,0.0014482840658059054,0.000868845823020178,0.0011386205607545042,0.001827549824175412,0.0015003358943748697,0.0011939112295663759,0.0015788104241647677,0.000906896576409594,0.0015346875773356145,0.0010075599569796445,0.0012623316029791477,0.0025288602398387226,0.016385728259667262,0.0013904048924738793,0.002719265708324708
ec_t-1,0.003735624489443168,0.00294108106199518,0.0022584302917854873,0.001185263178503252,0.0015252538786340716,0.005686162186631937,0.009131219210279238,0.0021129396018395065,0.001347347779567428,0.0021101395931663095,0.0034481209923051125,0.003129984809129445,0.002363446846103716,0.0033290763666845836,0.0014493038686124772,0.0016694551267508902,0.0017484358692516004,0.0014080280673992379,0.001469412924304595,0.0013904048924738793,0.02888181708375231,0.004764604920499074
ec_t-2,0.006490056795553113,0.0056888204669902544,0.002192220455384879,0.0019038785222269734,0.0033135047960214273,0.007252432124359896,0.011743232199327748,0.002738255073811029,0.0018801762222315642,0.0024178521762884203,0.0051873398074106,0.005088326153081054,0.0033694428790359745,0.005444122014492495,0.0022432795276128,0.002344806481756739,0.0015307619406717803,0.0014791795243935546,0.002096490109713903,0.002719265708324708,0.004764604920499074,0.062097230769243526
