repeat,fold,global_fold,n_train,n_valid,fit_seconds,predict_seconds,explain_seconds,fold_total_seconds,fold_rss_avg_mb,fold_rss_peak_mb,fold_rss_min_mb,fold_rss_last_mb,n_loss_iterations,train_loss_last,valid_loss_last,train_loss_min,valid_loss_min,train_loss_at_best_valid,best_loss_iteration,accuracy,precision,recall,specificity,f1,mcc,pr_auc,roc_auc,tp,tn,fp,fn
3,3,13,16270,4068,5.9517529010772705,0.014384031295776367,18.227521419525146,24.193658351898193,401.078125,401.078125,401.078125,401.078125,183,0.4968318428899926,0.5351246460232708,0.4968318428899926,0.5351009094486643,0.5012730549298412,165,0.7010816125860374,0.7938218390804598,0.5432645034414946,0.8588987217305801,0.645067133683596,0.4238289629219808,0.812083462623242,0.7698515598638291,1105,1747,287,929
3,4,14,16271,4067,6.05734920501709,0.015743494033813477,16.59078359603882,22.66387629508972,401.091814159292,401.8515625,401.078125,401.8515625,183,0.49307457880231753,0.5501568927184849,0.49307457880231753,0.5494070946833455,0.5021206815357484,149,0.6823211212195721,0.7672910662824207,0.523598820058997,0.8411214953271028,0.6224430157802455,0.3846121755894345,0.7957651309473504,0.7517076884309581,1065,1710,323,969
3,5,15,16271,4067,5.854352235794067,0.01581430435180664,17.77329134941101,23.643457889556885,401.8515625,401.8515625,401.8515625,401.8515625,183,0.49593189302829005,0.5323728653692539,0.49593189302829005,0.5323080232737477,0.49648174592612393,181,0.7034669289402508,0.7865557865557865,0.558288243974422,0.8485742379547689,0.6530494821634062,0.42518381734110916,0.8128626572275855,0.7706505394520403,1135,1726,308,898
4,1,16,16270,4068,5.411617755889893,0.015292644500732422,17.79663372039795,23.223544120788574,401.8515625,401.8515625,401.8515625,401.8515625,183,0.49434775788620705,0.5423773754971385,0.49434775788620705,0.5422845047730339,0.4957091322434832,178,0.6966568338249755,0.7890173410404624,0.5368731563421829,0.856440511307768,0.638970157987127,0.4150789277577603,0.8048320451096204,0.7628351456894542,1092,1742,292,942
4,2,17,16270,4068,5.37481427192688,0.010765790939331055,16.45384430885315,21.83942437171936,401.8515625,401.8515625,401.8515625,401.8515625,183,0.4960955058445135,0.5365090377903247,0.4960955058445135,0.5362304745372347,0.5048726625954506,151,0.6978859390363815,0.7840508115737473,0.5462143559488692,0.8495575221238938,0.6438713416401043,0.41534223100314654,0.8088626143859552,0.7632620089742809,1111,1728,306,923
4,3,18,16270,4068,6.737357139587402,0.016336917877197266,16.23452854156494,22.98822259902954,401.8515625,401.8515625,401.8515625,401.8515625,183,0.49541333208462285,0.5422594511913723,0.49541333208462285,0.5420036400727889,0.5022726024748403,156,0.6924778761061947,0.7818574514038877,0.5339233038348082,0.8510324483775811,0.6345311130587205,0.40590488908626293,0.8041223627810101,0.7605139859362325,1086,1731,303,948
4,4,19,16271,4067,5.4911439418792725,0.01166677474975586,17.427162408828735,22.929973125457764,401.8515625,401.8515625,401.8515625,401.8515625,183,0.4933306147088835,0.5461512582291601,0.4933306147088835,0.5460972686567036,0.49352279535553906,182,0.6857634620113106,0.7741466957153231,0.5243482538121004,0.8470993117010817,0.6252199413489736,0.3924628648985384,0.7995375894907502,0.7548369794168104,1066,1723,311,967
4,5,20,16271,4067,5.568227529525757,0.012176036834716797,16.981403350830078,22.56180691719055,401.8515625,401.8515625,401.8515625,401.8515625,183,0.49339837505375894,0.5408406753251516,0.49339837505375894,0.5405574417569566,0.4980911941252063,165,0.7002704696336366,0.7883934890304317,0.5476892822025565,0.852926709296606,0.646359152886568,0.4206790694496508,0.808039994371395,0.7618362892316115,1114,1734,299,920
5,1,21,16270,4068,5.944602966308594,0.012918710708618164,16.371559143066406,22.329080820083618,401.8515625,401.8515625,401.8515625,401.8515625,183,0.4940852489387057,0.5472459310098271,0.4940852489387057,0.5471320544010475,0.4947205040937577,181,0.6922320550639135,0.7866568914956011,0.5275319567354966,0.8569321533923304,0.631547969393761,0.40718917534593846,0.8002783072422326,0.7554815433597379,1073,1743,291,961
5,2,22,16270,4068,5.4440765380859375,0.011931657791137695,17.783101797103882,23.239109992980957,401.8515625,401.8515625,401.8515625,401.8515625,183,0.49358521998925553,0.544365229115973,0.49358521998925553,0.5443127539609516,0.4938151915418998,182,0.6964110127826942,0.7935341660543718,0.5309734513274337,0.8618485742379548,0.6362297496318114,0.41626853907265127,0.8039607859257314,0.7587011463913858,1080,1753,281,954
5,3,23,16270,4068,5.43813681602478,0.01032710075378418,17.401825189590454,22.85028910636902,401.8515625,401.8515625,401.8515625,401.8515625,183,0.4962640878802283,0.5355293511037982,0.4962640878802283,0.5353416633362009,0.5002479722708975,168,0.6986234021632252,0.8023952095808383,0.5270403146509341,0.8702064896755162,0.6362017804154303,0.4229293103670899,0.8123473716155797,0.7699530788783406,1072,1770,264,962
5,4,24,16271,4067,5.789965391159058,0.013927698135375977,16.342630624771118,22.14652371406555,401.8515625,401.8515625,401.8515625,401.8515625,183,0.49438254909990503,0.5457216535204238,0.49438254909990503,0.5447067191776217,0.518031171856988,101,0.6872387509220556,0.7586675730795377,0.5489424495818986,0.8254670599803343,0.636986301369863,0.3896120263155522,0.7976908541393191,0.749027477302967,1116,1679,355,917
5,5,25,16271,4067,5.457585334777832,0.011655569076538086,18.27298355102539,23.74222445487976,401.85394965277777,402.109375,401.8515625,402.109375,183,0.4969175151365471,0.5342499453985969,0.4969175151365471,0.5342499453985969,0.4969175151365471,183,0.7002704696336366,0.7916964924838941,0.543756145526057,0.8568617806197737,0.6447099970853979,0.4218137265321127,0.8123751655581747,0.7689637693881826,1106,1742,291,928
