iteration,train_loss_mean,train_loss_std,train_loss_count,valid_loss_mean,valid_loss_std,valid_loss_count
41,0.5649677223812042,0.0015307965102548465,25,0.5677899654684196,0.004954571504061086,25
42,0.5645621314637927,0.0015508614887223197,25,0.5674578087254171,0.004964131794504244,25
43,0.5641981894225205,0.0015563395860514228,25,0.5671898864017518,0.00494200769526493,25
44,0.563856831303681,0.001588420401909433,25,0.5669102725316671,0.004882609438493471,25
45,0.5634578307331003,0.0015693115999848859,25,0.566578193180434,0.004904955894208736,25
46,0.5630507790311353,0.0015773335117376162,25,0.5662509643710616,0.004965447705538135,25
47,0.5626343850595055,0.0016213730487659307,25,0.5659111277181956,0.004847815786089113,25
48,0.5622204079045964,0.0015493975751608865,25,0.5655443768578936,0.004888649194411707,25
49,0.5618858580132831,0.0015886886667524234,25,0.565279085782418,0.0048658568148858775,25
50,0.5614880980777128,0.0015303795119802725,25,0.5649492184620274,0.00486697344554072,25
51,0.5611498199070154,0.0014595906498721365,25,0.564683730740915,0.00493300970104356,25
52,0.5608041453519254,0.0014712387736675848,25,0.5644095280261705,0.004900292265213635,25
53,0.5604877876919128,0.0014196107079428738,25,0.5641695608785012,0.004973018351882482,25
54,0.5601690567740137,0.0014277579968996503,25,0.5639330868160266,0.0049883823744061705,25
55,0.5598625337674946,0.0013985739407523278,25,0.5636985696382358,0.005019103143566607,25
56,0.5595886847743236,0.0013473256893901495,25,0.5634821626917388,0.005039805208155138,25
57,0.559300375861812,0.001336459379468389,25,0.5632606178867338,0.005060001417920473,25
58,0.5589616946888587,0.0013432412049864664,25,0.5629864157907918,0.005044265321206253,25
59,0.5586243101618532,0.0012719801997160688,25,0.562739089096914,0.005103868422152886,25
60,0.5582544707777368,0.001324282802738864,25,0.5624324105210444,0.005095821285708618,25
61,0.5579855972511834,0.001304918616958231,25,0.5622379460520062,0.005138761154363311,25
62,0.557698293047324,0.0013378877402600512,25,0.5620230131930407,0.005117619348944048,25
63,0.5574392067943755,0.0013231650649653654,25,0.5618586566695204,0.005102634525996191,25
64,0.5571850513391436,0.001305447779741227,25,0.5616853089969895,0.005133578885142002,25
65,0.5569398741776425,0.0013270459063673258,25,0.5615064964914495,0.005082839200959703,25
66,0.556700563814701,0.0013550414664547687,25,0.5613371047579809,0.005073250108178818,25
67,0.5564455996480856,0.001336380225327773,25,0.561159282395026,0.005128703675617531,25
68,0.5562047747127017,0.0013570327256559793,25,0.5609633814502338,0.005113387710453101,25
69,0.555992870007853,0.001339699480085638,25,0.5608059607109083,0.005152714029179504,25
70,0.5557450260806597,0.0013454065823727205,25,0.5606387653874375,0.005163256333661245,25
71,0.5554841258601979,0.0012958821580241631,25,0.5604358945478779,0.005234180233456163,25
72,0.5552264898788781,0.0013133494091432654,25,0.5602357977977851,0.005200086966940128,25
73,0.5549974611079576,0.0013661090102852962,25,0.5600627525416947,0.0051280070037090135,25
