,scs,milk,fat,protein,lactose,ec,age,months_since_calving,month_sin,month_cos,scs_t-1,scs_t-2,milk_t-1,milk_t-2,fat_t-1,fat_t-2,protein_t-1,protein_t-2,lactose_t-1,lactose_t-2,ec_t-1,ec_t-2
scs_t-1,0.05093193024507496,0.001990853236707341,0.001259476130409964,0.0013917514072322617,0.0021612404442150754,0.0025260904836717233,0.003928361476245123,0.002198721459678519,0.0017414799990176845,0.002069237633705662,0.49399369442924673,0.03775646377870578,0.002143640307613444,0.0021001062748953105,0.0018329547828735279,0.0021719396314544472,0.0016324649109083229,0.0013563568751967312,0.001602403713419898,0.001067612688182509,0.0021027194364980845,0.002564880042455312
scs_t-2,0.044494276706832425,0.0018221045280862275,0.0013835425103247226,0.0012437636246637616,0.0011479310737448596,0.0026483571075061134,0.005580099435314469,0.0025308230910513424,0.0038259603733317854,0.0014794638832779105,0.037756463778705784,0.47198507628743075,0.0019231519869978956,0.003439261598105495,0.0011956777835793295,0.0023829319331236058,0.00117844142749972,0.0009271231236808231,0.001510964691287987,0.0012999556999728538,0.001518675805168423,0.003365942630988878
milk_t-1,0.00270777364460018,0.009664546283665988,0.003021249471778217,0.002906207540767753,0.0011569027485851904,0.0045301488955546134,0.0020995923972671605,0.0074760035711640485,0.0013681098263035804,0.0007769674418554378,0.0021436403076134443,0.0019231519869978943,0.07225896460547362,0.004144067084091664,0.0010346383185739544,0.0016637608400178934,0.0026816997747505494,0.0030020799614352773,0.001136697391417023,0.0007554988810650107,0.0023115284277142804,0.0023562869999497423
milk_t-2,0.003137959361053785,0.014679558880415647,0.0023980023126510064,0.0011763578233237257,0.0017901739848763135,0.004039440809379899,0.003289695153144226,0.002936606094123796,0.0016070355820855557,0.0011621149612453072,0.002100106274895311,0.003439261598105494,0.004144067084091662,0.07987930243246034,0.000917273802864594,0.0021455500786774005,0.0014772759810495434,0.0021556271718571446,0.0015654788775682203,0.0013249715410798733,0.004220971973770182,0.005027885850790933
fat_t-1,0.001826431273380337,0.001699396186926863,0.0012769769754109983,0.0007928195729251676,0.002055133028858876,0.0017978982674467972,0.00127947305522123,0.0028368206727472506,0.001766653463718108,0.0011576624216955442,0.001832954782873529,0.0011956777835793288,0.001034638318573955,0.0009172738028645938,0.010373292692364956,0.0012511744860901745,0.0016807504996879021,0.0010287853881183588,0.0008948060652338764,0.0006104976976056591,0.0010943640256247124,0.0012292534142200426
fat_t-2,0.002110007028172508,0.0018620191760449706,0.0018856503469337242,0.0019072261754834526,0.0013406045916242438,0.0032796134105419193,0.0016883219824197354,0.00238613249101209,0.0010300564055561025,0.0008230152552392493,0.002171939631454444,0.0023829319331236058,0.001663760840017893,0.0021455500786774005,0.001251174486090175,0.017449461275161116,0.0010149165848252972,0.0014494439384419885,0.0012120320648032405,0.0019585125837540103,0.0015943522259628563,0.0021902954547737435
protein_t-1,0.0017995405325125198,0.0021439795227216115,0.0017611226548394341,0.002402371852000274,0.0018069542046043289,0.002760251319385598,0.0013813438941586377,0.0041690910400272625,0.0025504942591165736,0.000991720283352532,0.0016324649109083213,0.0011784414274997222,0.00268169977475055,0.0014772759810495436,0.001680750499687902,0.0010149165848252972,0.03749888769868769,0.001753777744846746,0.0011980272696793396,0.0009404912145644847,0.0012353692915361937,0.0011392646738830165
protein_t-2,0.0017063106643626297,0.0021359445821950702,0.0015461696188751825,0.0031309939661274236,0.002770902239247306,0.0025056964412828453,0.001635555405343701,0.0030805483924683614,0.0015964596695238395,0.0007531386375244839,0.0013563568751967334,0.0009271231236808228,0.0030020799614352777,0.0021556271718571446,0.0010287853881183586,0.0014494439384419883,0.0017537777448467463,0.023641693735718006,0.0028711986061820747,0.001172174149773163,0.0016346627050976316,0.0012757803660935628
lactose_t-1,0.001953413195174134,0.001441120415701133,0.0008254003193825096,0.0008909254724052397,0.0016620295585667581,0.001445671898121673,0.000892590421934315,0.0010500390054269128,0.000720882681178057,0.0007968808399528183,0.0016024037134198983,0.001510964691287988,0.001136697391417023,0.0015654788775682207,0.0008948060652338766,0.0012120320648032405,0.0011980272696793394,0.0028711986061820743,0.02202438060884464,0.002555252596581867,0.0011767591072521777,0.001672079275628531
lactose_t-2,0.001295293697485663,0.0015395253743961503,0.0006410318430966604,0.000836365125658903,0.0012090640285303451,0.0017649741005965121,0.002174314247526361,0.0009932793896602575,0.0005834603205286104,0.0010848038164654999,0.001067612688182508,0.0012999556999728542,0.0007554988810650105,0.0013249715410798735,0.0006104976976056592,0.001958512583754011,0.0009404912145644852,0.001172174149773163,0.0025552525965818664,0.01940926006819771,0.0013326390240874103,0.0032209970831064117
ec_t-1,0.002201601797741179,0.002999703834282122,0.0017354730093189499,0.0011073421165653519,0.0012669979866641399,0.010057257021234235,0.010066750515028339,0.00207059953731915,0.0007917278234817478,0.0015282285049569644,0.0021027194364980836,0.0015186758051684223,0.0023115284277142813,0.004220971973770182,0.0010943640256247124,0.001594352225962857,0.0012353692915361937,0.001634662705097631,0.0011767591072521777,0.0013326390240874103,0.039167371353286504,0.005672128016998269
ec_t-2,0.0024737560046537224,0.0047505461056814935,0.001603898573034245,0.0014561152616671478,0.002383995205692921,0.004892965738405076,0.010649190976454065,0.0016382524230010667,0.0015816891743372582,0.0009933968095932643,0.002564880042455312,0.0033659426309888764,0.002356286999949742,0.0050278858507909335,0.0012292534142200422,0.002190295454773742,0.0011392646738830159,0.0012757803660935622,0.0016720792756285312,0.0032209970831064117,0.005672128016998268,0.0751582567725804
