repeat,fold,global_fold,n_train,n_valid,fit_seconds,predict_seconds,explain_seconds,fold_total_seconds,fold_rss_avg_mb,fold_rss_peak_mb,fold_rss_min_mb,fold_rss_last_mb,n_loss_iterations,train_loss_last,valid_loss_last,train_loss_min,valid_loss_min,train_loss_at_best_valid,best_loss_iteration,accuracy,precision,recall,specificity,f1,mcc,pr_auc,roc_auc,tp,tn,fp,fn
3,1,11,16270,4068,1.2372331619262695,0.0035049915313720703,3.0925395488739014,4.333277702331543,480.2217478197674,511.796875,466.45703125,511.796875,388,0.5089407960256331,0.5499461492027384,0.5089407960256331,0.5495936043138335,0.5114022788784588,363,0.6907571288102261,0.7926093514328808,0.516715830875123,0.8647984267453294,0.6255952380952381,0.4069642255758515,0.801614331460067,0.7566478034669226,1051,1759,275,983
3,2,12,16270,4068,1.495579481124878,0.0031943321228027344,3.280703067779541,4.779476881027222,484.0365397135417,512.83984375,467.1640625,512.83984375,388,0.5124699623839725,0.5421547310236127,0.5124699623839725,0.5420850298072292,0.5129715025827939,384,0.6934611602753196,0.778485491861288,0.5408062930186824,0.8461160275319567,0.6382361473745286,0.4063229835074905,0.8077766700152976,0.7642419091762555,1100,1721,313,934
3,3,13,16270,4068,1.4316837787628174,0.0030059814453125,3.749863624572754,5.184553384780884,497.84630408653845,521.15234375,483.70703125,521.15234375,388,0.51181259916176,0.5371063056912163,0.51181259916176,0.5369444911098723,0.5131012349679709,374,0.704031465093412,0.7977044476327116,0.5467059980334317,0.8613569321533924,0.6487747957992999,0.42989857349931615,0.8135471647651112,0.771756249945615,1112,1752,282,922
3,4,14,16271,4067,2.424649477005005,0.0035791397094726562,3.4104175567626953,5.838646173477173,498.8954878826531,520.453125,483.0859375,520.453125,388,0.5095013337080806,0.55293675125914,0.5095013337080806,0.55293675125914,0.5095013337080806,388,0.6882222768625522,0.7837037037037037,0.52015732546706,0.8563698967043778,0.6252955082742316,0.39978715882736854,0.7964092877626838,0.752445997965719,1058,1741,292,976
3,5,15,16271,4067,1.42305326461792,0.0030908584594726562,3.5248827934265137,4.951026916503906,499.25890625,523.046875,485.02734375,523.046875,388,0.512902186508661,0.5349793285581811,0.512902186508661,0.5349793285581811,0.512902186508661,388,0.6968281288418982,0.7836879432624113,0.543531726512543,0.8500491642084562,0.6418820795817601,0.41349744875038075,0.8135921808136405,0.7712309334525076,1105,1729,305,928
4,1,16,16270,4068,1.337766170501709,0.0029942989349365234,3.0988359451293945,4.43959641456604,499.2548611111111,521.69921875,484.12890625,521.69921875,388,0.510032982110391,0.5454889391202526,0.510032982110391,0.5454527472238444,0.5101449579861388,387,0.6973942969518191,0.7941391941391941,0.5329400196656834,0.8618485742379548,0.637834657252133,0.41804804494570336,0.8053597309279219,0.7641486083676807,1084,1753,281,950
4,2,17,16270,4068,1.3301033973693848,0.0032911300659179688,3.2506163120269775,4.58401083946228,499.5771059782609,523.1171875,484.09765625,523.1171875,388,0.5125204628607065,0.5373234285533474,0.5125204628607065,0.5371836038262379,0.5141695637899304,372,0.7015732546705998,0.7903682719546742,0.5486725663716814,0.8544739429695182,0.6477074869413814,0.42343082303928176,0.8120771730051096,0.7688001129278179,1116,1738,296,918
4,3,18,16270,4068,1.3789150714874268,0.002912759780883789,3.390317916870117,4.772145748138428,501.683837890625,525.1328125,487.1015625,525.1328125,388,0.5118178063473529,0.5435558263641762,0.5118178063473529,0.543551426359586,0.5119046583597691,387,0.6934611602753196,0.7832973362131029,0.5349065880039331,0.852015732546706,0.635699678644464,0.40797847728082876,0.806245044805271,0.7625571769592445,1088,1733,301,946
4,4,19,16271,4067,1.4888534545898438,0.003038167953491211,3.4205875396728516,4.9124791622161865,501.0516581632653,525.890625,486.42578125,525.890625,388,0.5092098333143469,0.5487756446070866,0.5092098333143469,0.5486192645283062,0.5095928686894589,384,0.687976395377428,0.7817109144542773,0.5213969503197246,0.8544739429695182,0.6255532605488344,0.3986467760045618,0.7999754824354037,0.7540602187795186,1060,1738,296,973
4,5,20,16271,4067,2.6900830268859863,0.003203153610229492,4.041896104812622,6.735182285308838,502.0113215042373,520.7734375,487.4375,515.0,388,0.5097077498093974,0.5443252339642064,0.5097077498093974,0.5438990541787115,0.5150475130268148,336,0.6975657732972708,0.7892086330935252,0.539331366764995,0.8558780127889818,0.6407710280373832,0.41661971845721407,0.8069092388722489,0.7606638933506678,1097,1740,293,937
5,1,21,16270,4068,2.6511430740356445,0.0033397674560546875,3.628913402557373,6.283396244049072,498.8773561507937,523.88671875,485.59375,523.88671875,388,0.5107845141100752,0.5500135533917898,0.5107845141100752,0.5499547506438147,0.510901757435485,387,0.6880530973451328,0.7913175932977913,0.5108161258603736,0.8652900688298918,0.6208544965640872,0.40222426848478454,0.8007649527603586,0.7580671359745681,1039,1760,274,995
5,2,22,16270,4068,1.4635744094848633,0.003017425537109375,3.48860764503479,4.955199480056763,501.247421875,523.890625,486.51171875,523.890625,388,0.5088725738570817,0.5486577068495528,0.5088725738570817,0.5486577068495528,0.5088725738570817,388,0.6924778761061947,0.7855579868708972,0.5294985250737463,0.855457227138643,0.6325991189427312,0.40719511704389566,0.8025035935315239,0.7585288057786557,1077,1740,294,957
5,3,23,16270,4068,1.472459316253662,0.0030853748321533203,3.3874595165252686,4.863004207611084,501.0805963010204,525.39453125,486.42578125,525.39453125,388,0.5123206356843704,0.5353949056235303,0.5123206356843704,0.5352890201192907,0.513414041001004,377,0.7023107177974435,0.8027961736571008,0.5363815142576205,0.8682399213372665,0.6430887120542294,0.4289291919352191,0.8163036030222415,0.7736773764392737,1091,1766,268,943
5,4,24,16271,4067,1.489591121673584,0.0035228729248046875,3.810316562652588,5.303430557250977,501.8859817216981,523.765625,486.4453125,523.765625,388,0.5104711020771634,0.5465982780822385,0.5104711020771634,0.5465802979961139,0.5152976171677748,343,0.6933857880501598,0.7648247978436657,0.558288243974422,0.828416912487709,0.6454364515211828,0.40164741223352307,0.8008371904643523,0.7541185000103987,1135,1685,349,898
5,5,25,16271,4067,1.4168472290039062,0.0025777816772460938,4.395318984985352,5.814743995666504,503.456875,526.1953125,487.01953125,509.50390625,388,0.5114802391730855,0.5390234653712607,0.5114802391730855,0.5388286179875647,0.5141147424633872,363,0.6995328251782641,0.7883522727272727,0.5457227138643068,0.853418593212002,0.6449738524113887,0.41947911466223536,0.8107411878387991,0.7667749585139205,1110,1735,298,924
